call_type,address,state,time,lon,lat
Suspicious - Priority,2500 Block of SE 122nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5376539,45.5041072
Unwanted Person,3500 Block of SE 77th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5836296,45.4972024
Accident - Unknown Injury,6200 Block of NE Prescott St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5992712,45.5554612
Unwanted Person,1400 Block of SE Stark St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6514423,45.519151
Accident - Non Injury,WB I84 FWY At/ NE 82nd Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.663676,45.525251
Burglary - Priority *H,5400 Block of SE Powell Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6070478,45.4974386
Unwanted Person,1500 Block of SE Holly St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6508807,45.5112938
Accident - Injury,2100 Block of SE 11th Ave,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6547226,45.5079264
Area Check,3900 Block of SE Powell Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6225094,45.4973189
Trimet Incident - Cold,1600 Block of SW Clay St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6911568,45.5163468
"Suspicious Subj, Veh, Or Circumstance",8800 Block NE Sandy Blvd,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5721195,45.5550928
Unwanted Person,N Larrabee Ave & Broadway Brg Ramp /Broadway Brg,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6743815,45.5363304
Unwanted Person,700 Block of NE Marine Dr,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.6543221,45.6007983
"Suspicious Subj, Veh, Or Circumstance",NE 16th Ave & NE Multnomah St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-73.9972993,40.6197147
Accident - Injury,N Ross Ave & N Broadway,"Portland, OR",1901-12-13T20:45:52.“48364Z,-95.3135652,32.3615477
Unwanted Person,14700 Block of SE Clinton St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-122.5115509,45.5024266
Accident - Non Injury,NW 17th Ave & NW Thurman St,"Portland, OR",1901-12-13T20:45:52.“48364Z,-80.2248067,25.8295492
